Pizza_type_id,Name,Category,Description
67,The 5 Chicken Feast Pizza,Veg,"Loaded with 5 different Chicken toppings - grilled Chicken Rashers, Chicken Meatballs, Chicken Tikka, herby Chicken Sausage and flavorful Chicken Keema"
68,The 5 Chicken Feast Pizza,Nonveg,"Loaded with 5 different Chicken toppings - grilled Chicken Rashers, Chicken Meatballs, Chicken Tikka, herby Chicken Sausage and flavorful Chicken Keema"
69,Chicken Keema Paratha Pizza,Veg,Flavourful & meaty chicken keema paratha and goodness of cheesy pizza coming together in an epic crossover!
70,Chicken Keema Paratha Pizza,Nonveg,Flavourful & meaty chicken keema paratha and goodness of cheesy pizza coming together in an epic crossover!
71,Non Veg Supreme,Veg,"Supreme combination of black olives, onion, capsicum, grilled mushroom, pepper barbecue chicken, peri-peri chicken & grilled chicken rashers"
72,Non Veg Supreme,Nonveg,"Supreme combination of black olives, onion, capsicum, grilled mushroom, pepper barbecue chicken, peri-peri chicken & grilled chicken rashers"
73,Chicken Sausage,Veg,"American classic! Spicy, herbed chicken sausage on pizza"
74,Chicken Sausage,Nonveg,"American classic! Spicy, herbed chicken sausage on pizza"
75,Spiced Double Chicken,Veg,Delightful combination of our spicy duo- Pepper Barbecue Chicken and Peri Peri Chicken for Chicken Lovers.
76,Spiced Double Chicken,Nonveg,Delightful combination of our spicy duo- Pepper Barbecue Chicken and Peri Peri Chicken for Chicken Lovers.
77,Chicken Golden Delight,Veg,"Double pepper barbecue chicken, golden corn and extra cheese, true delight"
78,Chicken Golden Delight,Nonveg,"Double pepper barbecue chicken, golden corn and extra cheese, true delight"
79,Indi Chicken Tikka,Veg,"The wholesome flavour of tandoori masala with Chicken tikka, onion, red paprika & mint mayo"
80,Indi Chicken Tikka,Nonveg,"The wholesome flavour of tandoori masala with Chicken tikka, onion, red paprika & mint mayo"
81,Chicken Pepperoni,Veg,"A classic American taste! Relish the delectable flavor of Chicken Pepperoni, topped with extra cheese"
82,Chicken Pepperoni,Nonveg,"A classic American taste! Relish the delectable flavor of Chicken Pepperoni, topped with extra cheese"
83,Chicken Fiesta,Veg,"Grilled chicken rashers, peri-peri chicken, onion & capsicum, a complete fiesta"
84,Chicken Fiesta,Nonveg,"Grilled chicken rashers, peri-peri chicken, onion & capsicum, a complete fiesta"
85,Pepsi 475ml,Veg,Sparkling and Refreshing Beverage
86,Pepsi 475ml,Nonveg,Sparkling and Refreshing Beverage
87,Pepsi Black Can 300ml,Veg,Maximum Taste Zero Calories
88,Pepsi Black Can 300ml,Nonveg,Maximum Taste Zero Calories
89,7Up 475ml,Veg,Refreshing clear drink with a natural lemon flavor
